chut,hymenofor,jedla,jmeno,klobouk_barva,klobouk_povrch,klobouk_tvar,konzistence,latin,pochva,prsten,tren_barva,tren_povrch,tren_tvar,vune,vyskyt_doba,vyskyt_misto
"['nevýrazná, sladká']",['lupeny'],['jedlá'],Muchomůrka růžovka ,"['bílá, červená, růžová']",['se zbytky plachetky (vločkatý)'],"['kulovitý, plochý, klenutý']",['křehká'],(Amanita rubescens),['nemá'],['má'],"['bílá, růžová']",['hladký'],['válcovitý'],['nevýrazná'],"['červen, červenec, srpen, září, říjen, listopad']","['jehličnatý les, listnatý les, smíšený les, jiné']"
"['nevýrazná, sladká']",['lupeny'],['jedlá'],Muchomůrka pošvatá ,"['hnědá, šedá']","['hladký, lysý, se zbytky plachetky (vločkatý)']","['plochý, s\xa0hrbolkem, zvoncovitý, klenutý']",['křehká'],(Amanita vaginata),['má'],['nemá'],"['bílá, šedá']",['hladký'],"['válcovitý, nahoru ztenčující']",['nevýrazná'],"['červen, červenec, srpen, září, říjen']","['jehličnatý les, listnatý les, smíšený les']"
['nevýrazná'],['lupeny'],['jedlá'],Muchomůrka šedivka ,"['hnědá, šedá']","['hladký, se zbytky plachetky (vločkatý)']","['kulovitý, plochý, vejčitý, klenutý']",['měkká'],(Amanita spissa),['nemá'],['má'],"['bílá, šedá']",['hladký'],"['válcovitý, kyjovitý']",['-'],"['červenec, srpen, září, říjen, listopad']","['jehličnatý les, listnatý les, smíšený les, jiné']"
['nevýrazná'],['lupeny'],['smrtelně jedovatá'],Muchomůrka tygrovaná ,"['hnědá, šedá']",['se zbytky plachetky (vločkatý)'],"['kulovitý, plochý, klenutý']",['měkká'],(Amanita pantherina),['má'],['má'],['bílá'],"['hladký, lesklý']","['válcovitý, hlízovitý']",['nevýrazná'],"['červenec, srpen, září, říjen']","['jehličnatý les, listnatý les, smíšený les']"
"['příjemná, nevýrazná']",['lupeny'],['smrtelně jedovatá'],Muchomůrka zelená ,"['hnědá, zelená, olivová']","['lysý, se zbytky plachetky (vločkatý)']","['polokulovitý, plochý, zvoncovitý, klenutý']",['měkká'],(Amanita phalloides),['má'],['má'],['bílá'],['-'],"['válcovitý, nahoru ztenčující, hlízovitý']",['nevýrazná'],"['červenec, srpen, září, říjen']","['listnatý les, smíšený les']"
['příjemná'],['lupeny'],['jedlá'],Opeňka měnlivá ,"['hnědá, žlutá']","['hladký, slizký']","['polokulovitý, plochý, klenutý']",['tvrdá'],(Kuehneromyces mutabilis),['nemá'],['má'],['hnědá'],['-'],['válcovitý'],['aromatická'],"['květen, červen, červenec, srpen, září, říjen, listopad']","['listnatý les, smíšený les, mýtiny']"
['nevýrazná'],['jiné'],['nejedlá'],Ohnivec rakouský ,['červená'],"['hladký, lysý']",['nálevkovitý'],['pružná'],(Sarcoscypha austriaca),['-'],['-'],['-'],['-'],['-'],['nevýrazná'],"['leden, únor, březen, duben, květen, prosinec']","['listnatý les, smíšený les, parky, křoviny']"
['kořenitá'],['jiné'],['jedlá'],Oříškovec Tulasneův ,"['hnědá, okrová']","['hrbolkatý, jamkatý']",['kulovitý'],['křehká'],(Hydnotrya tulasnei),['nemá'],['nemá'],['-'],['-'],['-'],['aromatická'],"['červen, červenec, srpen, září, říjen']","['jehličnatý les, listnatý les, smíšený les']"
"['nepříjemná, hořká']",['lupeny'],['nejedlá'],Pařezník obecný ,"['hnědá, žlutá, okrová']",['plstnatý'],"['plochý, vmáčklý']",['pružná'],(Panellus stipticus),['nemá'],['nemá'],['okrová'],['lysý'],"['dolů ztenčující, kyjovitý']",['ovocná'],"['březen, duben, květen, červen, červenec, srpen, září, říjen, listopad']","['listnatý les, smíšený les, mýtiny']"
['hořká'],['lupeny'],['nejedlá'],Pařezník jemný ,['bílá'],['hladký'],['excentrický'],['pružná'],(Panellus mitis),['nemá'],['nemá'],['bílá'],['vláknitý'],['dolů ztenčující'],['nevýrazná'],"['srpen, září, říjen, listopad, prosinec']","['jehličnatý les, smíšený les']"
"['nevýrazná, hořká']",['lupeny'],['jedlá'],Pařezník pozdní ,"['hnědá, zelená, šedá, olivová']","['šupinkatý, plstnatý']","['plochý, klenutý']",['pružná'],(Panellus serotinus),['nemá'],['nemá'],"['žlutá, oranžová, okrová']",['plstnatý'],"['dolů ztenčující, kyjovitý']",['nevýrazná'],"['leden, září, říjen, listopad, prosinec']","['listnatý les, smíšený les, parky, zahrady, mýtiny']"
"['nevýrazná, hořká, kořenitá']",['lupeny'],['nejedlá'],Pavučinec červenošupinný ,"['žlutá, červená']",['šupinkatý'],"['plochý, klenutý']",['tvrdá'],(Cortinarius bolaris),['nemá'],['nemá'],['bílá'],['vláknitý'],['válcovitý'],"['houbová, nevýrazná']","['srpen, září, říjen']",['listnatý les']
['oříšková'],['lupeny'],['jedlá'],Pečárka (žampión) dvouvýtrusá ,"['hnědá, bílá']","['hladký, šupinkatý']","['polokulovitý, plochý']",['tvrdá'],(Agaricus bisporus),['nemá'],['má'],"['hnědá, bílá, šedá']",['vláknitý'],['válcovitý'],"['příjemná, houbová']","['květen, červen, červenec, srpen, září, říjen']","['pole, pastviny, zahrady, paseky']"
['nevýrazná'],['lupeny'],['jedlá'],Pavučinec náramkovitý ,['červená'],['vláknitý'],"['s\xa0hrbolkem, zvoncovitý, klenutý']",['tvrdá'],(Cortinarius armillatus),['nemá'],['nemá'],['hnědá'],['vláknitý'],"['válcovitý, kyjovitý, hlízovitý']",['nevýrazná'],"['červenec, srpen, září, říjen']","['jehličnatý les, smíšený les']"
"['příjemná, sladká']",['lupeny'],['jedlá'],Pečárka (žampión) císařská ,['žlutá'],['šupinkatý'],"['polokulovitý, kulovitý, plochý, klenutý']",['tvrdá'],(Agaricus augustus),['nemá'],['má'],['bílá'],['hladký'],"['válcovitý, kyjovitý']","['příjemná, anýzová']","['srpen, září, říjen']","['jehličnatý les, listnatý les, smíšený les']"
['nevýrazná'],['lupeny'],['jedlá'],Penízovka dubová ,"['žlutá, okrová']",['hladký'],"['vmáčklý, zvoncovitý']",['dutá'],(Gymnopus dryophilus),['nemá'],['nemá'],['okrová'],['hladký'],['válcovitý'],['nevýrazná'],"['květen, červen, červenec, srpen, září, říjen']","['jehličnatý les, listnatý les, smíšený les, parky']"
['příjemná'],['lupeny'],['jedlá'],Pečárka (žampión) lesní ,"['hnědá, okrová']",['šupinkatý'],"['polokulovitý, plochý, klenutý']",['tvrdá'],(Agaricus silvaticus),['nemá'],['má'],"['bílá, šedá']",['hladký'],['válcovitý'],"['příjemná, kořenitá']","['červenec, srpen, září, říjen']","['jehličnatý les, smíšený les']"
['nevýrazná'],['lupeny'],['jedlá'],Penízovka máslová ,['hnědá'],['hladký'],"['polokulovitý, plochý, s\xa0hrbolkem, klenutý']",['dutá'],(Rhodocollybia butyracea),['nemá'],['nemá'],['bílá'],['-'],['kyjovitý'],['nevýrazná'],"['září, říjen, listopad']","['jehličnatý les, smíšený les']"
['nevýrazná'],['lupeny'],['jedlá'],Penízovka kuželovitá ,['šedá'],['hladký'],"['polokulovitý, plochý, s\xa0hrbolkem, klenutý']",['pružná'],(Collybia asema),['nemá'],['nemá'],['šedá'],['hladký'],['kyjovitý'],['nevýrazná'],"['září, říjen, listopad']","['jehličnatý les, listnatý les, smíšený les']"
['nevýrazná'],['lupeny'],['jedlá'],Penízovka sametonohá ,"['hnědá, žlutá, oranžová']","['hladký, slizký, lysý']","['polokulovitý, plochý, klenutý']",['tvrdá'],(Flammulina velutipes),['nemá'],['nemá'],"['hnědá, žlutá']",['plstnatý'],['válcovitý'],"['příjemná, houbová']","['leden, únor, březen, duben, říjen, listopad, prosinec']","['listnatý les, smíšený les, parky, sady, zahrady, mýtiny']"
